16 Apr 2026 16:29:26,056 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@62c30e17
16 Apr 2026 16:41:25,376 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,41), value : Интегрированные среды разра
16 Apr 2026 16:41:25,417 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,41)
16 Apr 2026 16:41:25,762 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,42), value : Интегрированные среды разраб
16 Apr 2026 16:41:25,812 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,42)
16 Apr 2026 16:41:25,962 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,43), value : Интегрированные среды разрабо
16 Apr 2026 16:41:26,045 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,43)
16 Apr 2026 16:41:26,155 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,44), value : Интегрированные среды разработ
16 Apr 2026 16:41:26,180 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,44)
16 Apr 2026 16:41:26,447 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,45), value : Интегрированные среды разработк
16 Apr 2026 16:41:26,534 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,45)
16 Apr 2026 16:41:26,777 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,46), value : Интегрированные среды разработки
16 Apr 2026 16:41:26,883 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,46)
16 Apr 2026 16:41:27,021 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,47), value : Интегрированные среды разработки 
16 Apr 2026 16:41:27,067 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,47)
16 Apr 2026 16:41:28,048 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,48), value : Интегрированные среды разработки п
16 Apr 2026 16:41:28,070 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,48)
16 Apr 2026 16:41:28,235 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,49), value : Интегрированные среды разработки пр
16 Apr 2026 16:41:28,288 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,49)
